condition,seed,final_window_reward,final_window_stabilization_rate,final_window_position_rmse,final_window_velocity_rmse,velocity_decoding_r2,mean_control_update_norm,recovery_success_rate
observation_only,200,-0.400333,0.196,0.592209,0.186391,-0.009444,0.016917,0.125000
oracle,200,-0.318379,0.104,0.514698,0.196430,1.000000,0.010089,0.200000
raw,200,-0.815617,0.282,0.874785,0.197634,0.426341,0.093630,0.225000
whitened,200,-0.187332,0.314,0.392366,0.139825,-0.014067,0.054900,0.100000
observation_only,201,-0.415049,0.126,0.598413,0.205404,0.003849,0.018598,0.102564
oracle,201,-1.243861,0.040,1.048504,0.360654,1.000000,0.010783,0.153846
raw,201,-1.917845,0.038,1.337744,0.343985,-0.023961,0.085056,0.282051
whitened,201,-1.129968,0.050,1.022110,0.268663,0.051820,0.053818,0.102564
observation_only,202,-0.721918,0.072,0.805256,0.242139,-0.003080,0.017961,0.024390
oracle,202,-0.599224,0.136,0.731953,0.220496,1.000000,0.011084,0.219512
raw,202,-2.118101,0.078,1.415570,0.326334,-0.005924,0.123103,0.243902
whitened,202,-1.823108,0.020,1.255934,0.482127,-0.026891,0.325944,0.073171
observation_only,203,-2.548538,0.010,1.563520,0.310986,-0.005273,0.019768,0.095238
oracle,203,-0.323788,0.186,0.521808,0.191609,1.000000,0.011289,0.166667
raw,203,-0.089485,0.590,0.264770,0.107900,0.228956,0.084805,0.309524
whitened,203,-2.042493,0.010,1.364381,0.415112,0.133039,0.063674,0.000000
observation_only,204,-0.583990,0.190,0.723800,0.213012,0.002402,0.016315,0.097561
oracle,204,-0.212887,0.348,0.417640,0.154056,1.000000,0.013991,0.121951
raw,204,-0.142567,0.392,0.344602,0.123679,0.312559,0.101776,0.268293
whitened,204,-2.597506,0.006,1.580958,0.297552,0.222511,0.047196,0.146341
